"","variable","estimate","se","ci_low","ci_high","p_value"
"1","fire",0.621,0.187,0.25261,0.98939,0.002
"2","drought",-0.456,0.158,-0.76726,-0.14474,0.007
"3","insect",-0.002,0.163,-0.32311,0.31911,0.991
