"","variable","estimate","se","ci_low","ci_high","p_value"
"1","thin",0.089,0.03,0.0299,0.1481,0.005
"2","burn",-0.015,0.037,-0.08789,0.05789,0.694
"3","thin:burn",-0.036,0.076,-0.18572,0.11372,0.644
