"","variable","estimate","se","ci_low","ci_high","p_value"
"1","fire",1.991,0.139,1.71717,2.26483,0
"2","drought",0.031,0.155,-0.27435,0.33635,0.84
"3","insect",0.089,0.09,-0.0883,0.2663,0.329
