"","variable","estimate","se","ci_low","ci_high","p_value"
"1","thin",0.03,0.015,0.000449999999999999,0.05955,0.058
"2","burn",-0.066,0.042,-0.14874,0.01674,0.14
"3","thin:burn",0.216,0.078,0.06234,0.36966,0.014
