"","variable","estimate","se","ci_low","ci_high","p_value"
"1","fire",0.218,0.123,-0.02431,0.46031,0.081
"2","drought",-0.47,0.072,-0.61184,-0.32816,0
"3","insect",-0.048,0.121,-0.28637,0.19037,0.693
