"","variable","estimate","se","ci_low","ci_high","p_value"
"1","thin",-0.094,0.123,-0.33631,0.14831,0.453
"2","burn",0.321,0.496,-0.65612,1.29812,0.526
"3","thin:burn",-0.01,0.717,-1.42249,1.40249,0.989
