"","variable","estimate","se","ci_low","ci_high","p_value"
"1","thin",-0.339,0.069,-0.47493,-0.20307,0
"2","burn",-0.073,0.191,-0.44927,0.30327,0.706
"3","thin:burn",-0.197,0.254,-0.69738,0.30338,0.448
