"","variable","estimate","se","ci_low","ci_high","p_value"
"1","cwd",-0.0064,0.1527,-0.307219,0.294419,0.9666
"2","drought",0.0264,0.1679,-0.304363,0.357163,0.8751
"3","fire",2.0072,0.1592,1.693576,2.320824,0
"4","insect",0.0991,0.097,-0.09199,0.29019,0.3089
"5","cwd:fire",0.1303,0.2811,-0.423467,0.684067,0.6439
"6","cwd:insect",0.0559,0.1799,-0.298503,0.410303,0.7564
