"","variable","estimate","se","ci_low","ci_high","p_value"
"1","fire",1.991,0.168,1.66004,2.32196,0
"2","drought",0.033,0.373,-0.70181,0.76781,0.929
"3","insect",0.103,0.12,-0.1334,0.3394,0.392
