studyID,studyName,species,treatment,treatment.year,%BA-removed,treatment.notes,measurement.year,responseVariable,units,mean_treatment,n_treatment,sd_treatment,se_treatment,mean_control,n_control,sd_control,se_control,disturbance,disturbanceStart,disturbanceEnd,mortalityAgent,method,SiteName,latitude coordinate,longitude coordinate,comment,"Carbon-vs-Mortality (1=Carbon, 2=Mortality)",ImputedBAremoved? (1=yes),ImputedSD? (1=yes),MortalityAttributionUncertain (1=yes),PercentComposition,"GroupingFlags (same number = should be grouped later, recycle numbers between studies. If nothing should be grouped, write NA)"
193,Zhang et al 2013,Ponderosa Pine,thinning,"1965, 1975, 1985",47.39130435,544_stems_per_hectare,2012,mortality,m2/ha,4.887218045,3,NA,NA,7.894736842,3,NA,NA,insects,1987,2012,dendroctonus bark beetle,Field experiment,Lookout Mountain,43.46,-121.43,"**methods suggest 45 years of measurement, figure 6 says 60 years. typo?",2,0,1,0,,NA
193,Zhang et al 2013,Ponderosa Pine,thinning,"1965, 1975, 1985",38.28828829,635_stems_per_hectare,2012,mortality,m2/ha,7.894736842,3,NA,NA,43.30708661,3,NA,NA,insects,1987,2012,dendroctonus bark beetle,Field experiment,Lookout Mountain,43.46,-121.43,"**methods suggest 45 years of measurement, figure 6 says 60 years. typo?",2,0,1,0,,NA
193,Zhang et al 2013,Ponderosa Pine,thinning,"1969, 1979, 1989",65.2173913,180_stems_per_hectare,2012,mortality,m2/ha,0,3,NA,NA,43.30708661,3,NA,NA,insects,1987,2012,dendroctonus bark beetle,Field experiment,Elliot Ranch,39.09,-120.45,"**methods suggest 45 years of measurement, figure 6 says 60 years. typo? / **burned in 1936 and 1949 (before the treatments) *** n between 3 and 4",2,0,1,0,,NA
193,Zhang et al 2013,Ponderosa Pine,thinning,"1969, 1979, 1989",51.67464115,316_stems_per_hectare,2012,mortality,m2/ha,3.937007874,3,NA,NA,43.30708661,3,NA,NA,insects,1987,2012,dendroctonus bark beetle,Field experiment,Elliot Ranch,39.09,-120.45,"**methods suggest 45 years of measurement, figure 6 says 60 years. typo? / **burned in 1936 and 1949 (before the treatments) *** n between 3 and 4",2,0,1,0,,NA
193,Zhang et al 2013,Ponderosa Pine,thinning,"1969, 1979, 1989",37.55868545,452_stems_per_hectare,2012,mortality,m2/ha,14.56692913,3,NA,NA,43.30708661,3,NA,NA,insects,1987,2012,dendroctonus bark beetle,Field experiment,Elliot Ranch,39.09,-120.45,"**methods suggest 45 years of measurement, figure 6 says 60 years. typo? / **burned in 1936 and 1949 (before the treatments) *** n between 3 and 4",2,0,1,0,,NA
193,Zhang et al 2013,Ponderosa Pine,thinning,"1969, 1979, 1989",29.46428571,588_stems_per_hectare,2012,mortality,m2/ha,,,,,,,,,insects,1987,2012,dendroctonus bark beetle,Field experiment,Elliot Ranch,39.09,-120.45,"**methods suggest 45 years of measurement, figure 6 says 60 years. typo? / **burned in 1936 and 1949 (before the treatments) *** n between 3 and 4",2,0,1,0,,NA
201,Muzika et al. 2000,Mixed Oaks,Thinning,1989,32.3,,1990,mortality,m2/ha,0.15384615,10,0.72975638,0.23076923,0.30769231,10,0.60813032,0.19230769,insects,1990,1994,two-lined chestnut borer,Field experiment,West Virginia Univerity Forest,39.69,-79.77,"Lat and lon are location of research station hq, not individual stands",2,0,0,0,,1
201,Muzika et al. 2000,Mixed Oaks,Thinning,1989,32.3,,1991,mortality,m2/ha,1.11538462,10,1.3378867,0.42307692,4.11538462,10,2.06764309,0.65384615,insects,1990,1994,two-lined chestnut borer,Field experiment,West Virginia Univerity Forest,39.69,-79.77,"Lat and lon are location of research station hq, not individual stands",2,0,0,0,,1
201,Muzika et al. 2000,Mixed Oaks,Thinning,1989,32.3,,1992,mortality,m2/ha,2.15384615,10,1.45951277,0.46153846,7.07692308,10,3.16227766,1,insects,1990,1994,two-lined chestnut borer,Field experiment,West Virginia Univerity Forest,39.69,-79.77,"Lat and lon are location of research station hq, not individual stands",2,0,0,0,,1
201,Muzika et al. 2000,Mixed Oaks,Thinning,1989,32.3,,1993,mortality,m2/ha,1.26923077,10,0.85138245,0.26923077,1.42307692,10,1.45951277,0.46153846,insects,1990,1994,two-lined chestnut borer,Field experiment,West Virginia Univerity Forest,39.69,-79.77,"Lat and lon are location of research station hq, not individual stands",2,0,0,0,,1
201,Muzika et al. 2000,Mixed Oaks,Thinning,1989,32.3,,1994,mortality,m2/ha,0.15384615,10,0.85138245,0.26923077,0.34615385,10,0.60813032,0.19230769,insects,1990,1994,two-lined chestnut borer,Field experiment,West Virginia Univerity Forest,39.69,-79.77,"Lat and lon are location of research station hq, not individual stands",2,0,0,0,,1
201,Muzika et al. 2000,Mixed Oaks,Thinning,1989,32.6,,1990,mortality,m2/ha,0.18604651,19,1.4191764,0.3255814,0.41860465,13,1.00620036,0.27906977,insects,1990,1994,two-lined chestnut borer,Field experiment,West Virginia Univerity Forest,39.69,-79.77,"Lat and lon are location of research station hq, not individual stands",2,0,0,0,,2
201,Muzika et al. 2000,Mixed Oaks,Thinning,1989,32.6,,1991,mortality,m2/ha,4.88372093,19,2.63561331,0.60465116,10,13,4.02480142,1.11627907,insects,1990,1994,two-lined chestnut borer,Field experiment,West Virginia Univerity Forest,39.69,-79.77,"Lat and lon are location of research station hq, not individual stands",2,0,0,0,,2
201,Muzika et al. 2000,Mixed Oaks,Thinning,1989,32.6,,1992,mortality,m2/ha,2.41860465,19,2.43287383,0.55813953,2.65116279,13,1.84470065,0.51162791,insects,1990,1994,two-lined chestnut borer,Field experiment,West Virginia Univerity Forest,39.69,-79.77,"Lat and lon are location of research station hq, not individual stands",2,0,0,0,,2
201,Muzika et al. 2000,Mixed Oaks,Thinning,1989,32.6,,1993,mortality,m2/ha,0.60465116,19,1.01369743,0.23255814,0.8372093,13,0.67080024,0.18604651,insects,1990,1994,two-lined chestnut borer,Field experiment,West Virginia Univerity Forest,39.69,-79.77,"Lat and lon are location of research station hq, not individual stands",2,0,0,0,,2
201,Muzika et al. 2000,Mixed Oaks,Thinning,1989,32.6,,1994,mortality,m2/ha,0,19,1.01369743,0.23255814,0.09302326,13,0.8385003,0.23255814,insects,1990,1994,two-lined chestnut borer,Field experiment,West Virginia Univerity Forest,39.69,-79.77,"Lat and lon are location of research station hq, not individual stands",2,0,0,0,,2
201,Muzika et al. 2000,Mixed Oaks,Thinning,1989,18,,1990,mortality,m2/ha,0.2,11,0.66332496,0.2,0.24,11,0.92865494,0.28,insects,1990,1994,two-lined chestnut borer,Field experiment,West Virginia Univerity Forest,39.69,-79.77,"Lat and lon are location of research station hq, not individual stands",2,0,0,0,,3
201,Muzika et al. 2000,Mixed Oaks,Thinning,1989,18,,1991,mortality,m2/ha,3.2,11,2.78596482,0.84,5.32,11,3.84728476,1.16,insects,1990,1994,two-lined chestnut borer,Field experiment,West Virginia Univerity Forest,39.69,-79.77,"Lat and lon are location of research station hq, not individual stands",2,0,0,0,,3
201,Muzika et al. 2000,Mixed Oaks,Thinning,1989,18,,1992,mortality,m2/ha,1.12,11,1.19398492,0.36,1.84,11,1.85730988,0.56,insects,1990,1994,two-lined chestnut borer,Field experiment,West Virginia Univerity Forest,39.69,-79.77,"Lat and lon are location of research station hq, not individual stands",2,0,0,0,,3
201,Muzika et al. 2000,Mixed Oaks,Thinning,1989,18,,1993,mortality,m2/ha,0.28,11,1.06131993,0.32,0.68,11,1.06131993,0.32,insects,1990,1994,two-lined chestnut borer,Field experiment,West Virginia Univerity Forest,39.69,-79.77,"Lat and lon are location of research station hq, not individual stands",2,0,0,0,,3
201,Muzika et al. 2000,Mixed Oaks,Thinning,1989,18,,1994,mortality,m2/ha,0,11,0.92865494,0.28,0.16,11,0.92865494,0.28,insects,1990,1994,two-lined chestnut borer,Field experiment,West Virginia Univerity Forest,39.69,-79.77,"Lat and lon are location of research station hq, not individual stands",2,0,0,0,,3
149,Sullivan et al 2003,Pinus palustris,Low intensity burn,1997,,,2000,Cumulative mortality,%,9.25514607,4,4.855564,2.4277822,5.76190519,4,3.667988,1.8339938,insects,1998,2000,,Field experiment,"Savannah River Site, National Environmental Research Park, Barnwell County, South Carolina, USA",33.36,-81.6,It is not fully clear whether trees did actually die from insects (most dying trees had bark beetles on them). Also not clear if there was a distinct barkbeetle outbreak,2,0,0,1,,NA
149,Sullivan et al 2004,Pinus palustris,Mid intensity burn,1997,,,2000,Cumulative mortality,%,12.8727616,4,5.917107,2.9585535,5.76190519,4,3.667988,1.8339938,insects,1998,2000,,Field experiment,"Savannah River Site, National Environmental Research Park, Barnwell County, South Carolina, USA",33.36,-81.6,,2,0,0,1,,NA
149,Sullivan et al 2005,Pinus palustris,High intensity burn,1997,,,2000,Cumulative mortality,%,22.9197066,4,12.698351,6.3491754,5.76190519,4,3.667988,1.8339938,insects,1998,2000,,Field experiment,"Savannah River Site, National Environmental Research Park, Barnwell County, South Carolina, USA",33.36,-81.6,,2,0,0,1,,NA
190,Fettig et al 2011,Pinus jeffreyi; Pinus ponderosa; Abies concolor,high density thinning,1999-2002,3.4,%BA removed is calculated as (control - treatment)/control,2002,mortality,number/percentage of bark beetle-killed trees/ha/yr,0.3839777,3,0.360823,0.20832125,0.93487923,3,0.1933220368,0.11161453,insects,1999,2009,Scolytus ventralis; Dendroctonus ponderosae; Dendroctonus jeffreyi; Ips pini; Orthotomicus; Dendroctonus brevicomis,Field experiment,Tahoe National Forest,39.47,-120.05,"Lat and lon are location of research station hq, not individual stands",2,0,0,0,,1
190,Fettig et al 2011,Pinus jeffreyi; Pinus ponderosa; Abies concolor,medium density thinning,1999-2002,25.1,%BA removed is calculated as (control - treatment)/control,2002,mortality,number/percentage of bark beetle-killed trees/ha/yr,0.95418247,3,1.131012671,0.65299047,0.93487923,3,0.1933220368,0.11161453,insects,1999,2009,Scolytus ventralis; Dendroctonus ponderosae; Dendroctonus jeffreyi; Ips pini; Orthotomicus; Dendroctonus brevicomis,Field experiment,Tahoe National Forest,39.47,-120.05,"Lat and lon are location of research station hq, not individual stands",2,0,0,0,,2
190,Fettig et al 2011,Pinus jeffreyi; Pinus ponderosa; Abies concolor,low density thinning,1999-2002,40.2,%BA removed is calculated as (control - treatment)/control,2002,mortality,number/percentage of bark beetle-killed trees/ha/yr,1.21644833,3,0.8480997864,0.48965064,0.93487923,3,0.1933220368,0.11161453,insects,1999,2009,Scolytus ventralis; Dendroctonus ponderosae; Dendroctonus jeffreyi; Ips pini; Orthotomicus; Dendroctonus brevicomis,Field experiment,Tahoe National Forest,39.47,-120.05,"Lat and lon are location of research station hq, not individual stands",2,0,0,0,,3
190,Fettig et al 2011,Pinus jeffreyi; Pinus ponderosa; Abies concolor,high density thinning,1999-2003,3.4,%BA removed is calculated as (control - treatment)/control,2003,mortality,number/percentage of bark beetle-killed trees/ha/yr,0.41899094,3,0.7310375218,0.42206471,0.72389606,3,1.070256139,0.61791267,insects,1999,2009,Scolytus ventralis; Dendroctonus ponderosae; Dendroctonus jeffreyi; Ips pini; Orthotomicus; Dendroctonus brevicomis,Field experiment,Tahoe National Forest,39.47,-120.05,"Lat and lon are location of research station hq, not individual stands",2,0,0,0,,1
190,Fettig et al 2011,Pinus jeffreyi; Pinus ponderosa; Abies concolor,medium density thinning,1999-2003,25.1,%BA removed is calculated as (control - treatment)/control,2003,mortality,number/percentage of bark beetle-killed trees/ha/yr,0.63138805,3,0.5756851044,0.33237195,0.72389606,3,1.070256139,0.61791267,insects,1999,2009,Scolytus ventralis; Dendroctonus ponderosae; Dendroctonus jeffreyi; Ips pini; Orthotomicus; Dendroctonus brevicomis,Field experiment,Tahoe National Forest,39.47,-120.05,"Lat and lon are location of research station hq, not individual stands",2,0,0,0,,2
190,Fettig et al 2011,Pinus jeffreyi; Pinus ponderosa; Abies concolor,low density thinning,1999-2003,40.2,%BA removed is calculated as (control - treatment)/control,2003,mortality,number/percentage of bark beetle-killed trees/ha/yr,1.08226008,3,0.5343720727,0.30851986,0.72389606,3,1.070256139,0.61791267,insects,1999,2009,Scolytus ventralis; Dendroctonus ponderosae; Dendroctonus jeffreyi; Ips pini; Orthotomicus; Dendroctonus brevicomis,Field experiment,Tahoe National Forest,39.47,-120.05,"Lat and lon are location of research station hq, not individual stands",2,0,0,0,,3
190,Fettig et al 2011,Pinus jeffreyi; Pinus ponderosa; Abies concolor,high density thinning,1999-2004,3.4,%BA removed is calculated as (control - treatment)/control,2004,mortality,number/percentage of bark beetle-killed trees/ha/yr,0.64456835,3,1.11972597,0.64647409,0.64247819,3,0.6018154291,0.3474583,insects,1999,2009,Scolytus ventralis; Dendroctonus ponderosae; Dendroctonus jeffreyi; Ips pini; Orthotomicus; Dendroctonus brevicomis,Field experiment,Tahoe National Forest,39.47,-120.05,"Lat and lon are location of research station hq, not individual stands",2,0,0,0,,1
190,Fettig et al 2011,Pinus jeffreyi; Pinus ponderosa; Abies concolor,medium density thinning,1999-2004,25.1,%BA removed is calculated as (control - treatment)/control,2004,mortality,number/percentage of bark beetle-killed trees/ha/yr,0.94476446,3,0.2369781349,0.13681939,0.64247819,3,0.6018154291,0.3474583,insects,1999,2009,Scolytus ventralis; Dendroctonus ponderosae; Dendroctonus jeffreyi; Ips pini; Orthotomicus; Dendroctonus brevicomis,Field experiment,Tahoe National Forest,39.47,-120.05,"Lat and lon are location of research station hq, not individual stands",2,0,0,0,,2
190,Fettig et al 2011,Pinus jeffreyi; Pinus ponderosa; Abies concolor,low density thinning,1999-2004,40.2,%BA removed is calculated as (control - treatment)/control,2004,mortality,number/percentage of bark beetle-killed trees/ha/yr,0.22945035,3,0.2019254796,0.11658173,0.64247819,3,0.6018154291,0.3474583,insects,1999,2009,Scolytus ventralis; Dendroctonus ponderosae; Dendroctonus jeffreyi; Ips pini; Orthotomicus; Dendroctonus brevicomis,Field experiment,Tahoe National Forest,39.47,-120.05,"Lat and lon are location of research station hq, not individual stands",2,0,0,0,,3
190,Fettig et al 2011,Pinus jeffreyi; Pinus ponderosa; Abies concolor,high density thinning,1999-2005,3.4,%BA removed is calculated as (control - treatment)/control,2005,mortality,number/percentage of bark beetle-killed trees/ha/yr,0.21452415,3,0.3600883573,0.20789711,0.08125803,3,0.1413606165,0.08161459,insects,1999,2009,Scolytus ventralis; Dendroctonus ponderosae; Dendroctonus jeffreyi; Ips pini; Orthotomicus; Dendroctonus brevicomis,Field experiment,Tahoe National Forest,39.47,-120.05,"Lat and lon are location of research station hq, not individual stands",2,0,0,0,,1
190,Fettig et al 2011,Pinus jeffreyi; Pinus ponderosa; Abies concolor,medium density thinning,1999-2005,25.1,%BA removed is calculated as (control - treatment)/control,2005,mortality,number/percentage of bark beetle-killed trees/ha/yr,0,3,0,0,0.08125803,3,0.1413606165,0.08161459,insects,1999,2009,Scolytus ventralis; Dendroctonus ponderosae; Dendroctonus jeffreyi; Ips pini; Orthotomicus; Dendroctonus brevicomis,Field experiment,Tahoe National Forest,39.47,-120.05,"Lat and lon are location of research station hq, not individual stands",2,0,0,0,,2
190,Fettig et al 2011,Pinus jeffreyi; Pinus ponderosa; Abies concolor,low density thinning,1999-2005,40.2,%BA removed is calculated as (control - treatment)/control,2005,mortality,number/percentage of bark beetle-killed trees/ha/yr,0,3,0,0,0.08125803,3,0.1413606165,0.08161459,insects,1999,2009,Scolytus ventralis; Dendroctonus ponderosae; Dendroctonus jeffreyi; Ips pini; Orthotomicus; Dendroctonus brevicomis,Field experiment,Tahoe National Forest,39.47,-120.05,"Lat and lon are location of research station hq, not individual stands",2,0,0,0,,3
190,Fettig et al 2011,Pinus jeffreyi; Pinus ponderosa; Abies concolor,high density thinning,1999-2006,3.4,%BA removed is calculated as (control - treatment)/control,2006,mortality,number/percentage of bark beetle-killed trees/ha/yr,0,3,0,0,0.08103672,3,0.1406152631,0.08118426,insects,1999,2009,Scolytus ventralis; Dendroctonus ponderosae; Dendroctonus jeffreyi; Ips pini; Orthotomicus; Dendroctonus brevicomis,Field experiment,Tahoe National Forest,39.47,-120.05,"Lat and lon are location of research station hq, not individual stands",2,0,0,0,,1
190,Fettig et al 2011,Pinus jeffreyi; Pinus ponderosa; Abies concolor,medium density thinning,1999-2006,25.1,%BA removed is calculated as (control - treatment)/control,2006,mortality,number/percentage of bark beetle-killed trees/ha/yr,0,3,0,0,0.08103672,3,0.1406152631,0.08118426,insects,1999,2009,Scolytus ventralis; Dendroctonus ponderosae; Dendroctonus jeffreyi; Ips pini; Orthotomicus; Dendroctonus brevicomis,Field experiment,Tahoe National Forest,39.47,-120.05,"Lat and lon are location of research station hq, not individual stands",2,0,0,0,,2
190,Fettig et al 2011,Pinus jeffreyi; Pinus ponderosa; Abies concolor,low density thinning,1999-2006,40.2,%BA removed is calculated as (control - treatment)/control,2006,mortality,number/percentage of bark beetle-killed trees/ha/yr,0,3,0,0,0.08103672,3,0.1406152631,0.08118426,insects,1999,2009,Scolytus ventralis; Dendroctonus ponderosae; Dendroctonus jeffreyi; Ips pini; Orthotomicus; Dendroctonus brevicomis,Field experiment,Tahoe National Forest,39.47,-120.05,"Lat and lon are location of research station hq, not individual stands",2,0,0,0,,3
190,Fettig et al 2011,Pinus jeffreyi; Pinus ponderosa; Abies concolor,high density thinning,1999-2007,3.4,%BA removed is calculated as (control - treatment)/control,2007,mortality,number/percentage of bark beetle-killed trees/ha/yr,0,3,0,0,0.22343807,3,0.2427066678,0.14012676,insects,1999,2009,Scolytus ventralis; Dendroctonus ponderosae; Dendroctonus jeffreyi; Ips pini; Orthotomicus; Dendroctonus brevicomis,Field experiment,Tahoe National Forest,39.47,-120.05,"Lat and lon are location of research station hq, not individual stands",2,0,0,0,,1
190,Fettig et al 2011,Pinus jeffreyi; Pinus ponderosa; Abies concolor,medium density thinning,1999-2007,25.1,%BA removed is calculated as (control - treatment)/control,2007,mortality,number/percentage of bark beetle-killed trees/ha/yr,0,3,0,0,0.22343807,3,0.2427066678,0.14012676,insects,1999,2009,Scolytus ventralis; Dendroctonus ponderosae; Dendroctonus jeffreyi; Ips pini; Orthotomicus; Dendroctonus brevicomis,Field experiment,Tahoe National Forest,39.47,-120.05,"Lat and lon are location of research station hq, not individual stands",2,0,0,0,,2
190,Fettig et al 2011,Pinus jeffreyi; Pinus ponderosa; Abies concolor,low density thinning,1999-2007,40.2,%BA removed is calculated as (control - treatment)/control,2007,mortality,number/percentage of bark beetle-killed trees/ha/yr,0,3,0,0,0.22343807,3,0.2427066678,0.14012676,insects,1999,2009,Scolytus ventralis; Dendroctonus ponderosae; Dendroctonus jeffreyi; Ips pini; Orthotomicus; Dendroctonus brevicomis,Field experiment,Tahoe National Forest,39.47,-120.05,"Lat and lon are location of research station hq, not individual stands",2,0,0,0,,3
190,Fettig et al 2011,Pinus jeffreyi; Pinus ponderosa; Abies concolor,high density thinning,1999-2008,3.4,%BA removed is calculated as (control - treatment)/control,2008,mortality,number/percentage of bark beetle-killed trees/ha/yr,0.42141307,3,0.3761665865,0.21717988,0.16433573,3,0.2757362532,0.1591964,insects,1999,2009,Scolytus ventralis; Dendroctonus ponderosae; Dendroctonus jeffreyi; Ips pini; Orthotomicus; Dendroctonus brevicomis,Field experiment,Tahoe National Forest,39.47,-120.05,"Lat and lon are location of research station hq, not individual stands",2,0,0,0,,1
190,Fettig et al 2011,Pinus jeffreyi; Pinus ponderosa; Abies concolor,medium density thinning,1999-2008,25.1,%BA removed is calculated as (control - treatment)/control,2008,mortality,number/percentage of bark beetle-killed trees/ha/yr,0.44843761,3,0.7783138832,0.44935973,0.16433573,3,0.2757362532,0.1591964,insects,1999,2009,Scolytus ventralis; Dendroctonus ponderosae; Dendroctonus jeffreyi; Ips pini; Orthotomicus; Dendroctonus brevicomis,Field experiment,Tahoe National Forest,39.47,-120.05,"Lat and lon are location of research station hq, not individual stands",2,0,0,0,,2
190,Fettig et al 2011,Pinus jeffreyi; Pinus ponderosa; Abies concolor,low density thinning,1999-2008,40.2,%BA removed is calculated as (control - treatment)/control,2008,mortality,number/percentage of bark beetle-killed trees/ha/yr,0.3399952,3,0.59084817,0.34112635,0.16433573,3,0.2757362532,0.1591964,insects,1999,2009,Scolytus ventralis; Dendroctonus ponderosae; Dendroctonus jeffreyi; Ips pini; Orthotomicus; Dendroctonus brevicomis,Field experiment,Tahoe National Forest,39.47,-120.05,"Lat and lon are location of research station hq, not individual stands",2,0,0,0,,3
190,Fettig et al 2011,Pinus jeffreyi; Pinus ponderosa; Abies concolor,high density thinning,1999-2009,3.4,%BA removed is calculated as (control - treatment)/control,2009,mortality,number/percentage of bark beetle-killed trees/ha/yr,0.2166389,3,0.3577458452,0.20654466,0.16412671,3,0.2730529947,0.15764722,insects,1999,2009,Scolytus ventralis; Dendroctonus ponderosae; Dendroctonus jeffreyi; Ips pini; Orthotomicus; Dendroctonus brevicomis,Field experiment,Tahoe National Forest,39.47,-120.05,"Lat and lon are location of research station hq, not individual stands",2,0,0,0,,1
190,Fettig et al 2011,Pinus jeffreyi; Pinus ponderosa; Abies concolor,medium density thinning,1999-2009,25.1,%BA removed is calculated as (control - treatment)/control,2009,mortality,number/percentage of bark beetle-killed trees/ha/yr,0.09304899,3,0.1645941728,0.09502849,0.16412671,3,0.2730529947,0.15764722,insects,1999,2009,Scolytus ventralis; Dendroctonus ponderosae; Dendroctonus jeffreyi; Ips pini; Orthotomicus; Dendroctonus brevicomis,Field experiment,Tahoe National Forest,39.47,-120.05,"Lat and lon are location of research station hq, not individual stands",2,0,0,0,,2
190,Fettig et al 2011,Pinus jeffreyi; Pinus ponderosa; Abies concolor,low density thinning,1999-2009,40.2,%BA removed is calculated as (control - treatment)/control,2009,mortality,number/percentage of bark beetle-killed trees/ha/yr,0.11446698,3,0.1853148525,0.10699158,0.16412671,3,0.2730529947,0.15764722,insects,1999,2009,Scolytus ventralis; Dendroctonus ponderosae; Dendroctonus jeffreyi; Ips pini; Orthotomicus; Dendroctonus brevicomis,Field experiment,Tahoe National Forest,39.47,-120.05,"Lat and lon are location of research station hq, not individual stands",2,0,0,0,,3
306,Fettig et al 2021,ponderosa pine; Douglas fir; grand fir; white fir; sugar pine; western white pine; ,Fifty (50) UMZ (low density stand),"thinning: 2011, 2012, 2013; prescribed fire 2 years after thinning",< 50,thinning and prescribed fire happened in different years for different blocks,"2014, 2015, 2016 (1 year after prescribed fire)",percentage of trees killed,% of trees,0.21330694,3,0.3642623226,0.21030695,0.04874598,4,0,0,insects,unclear (maybe after prescribed fire),unclear,bark beetles,Field experiment,Lookout Mountain Unit of Pringle Falls Experimental Forest,43.7,-121.617,"mortality by bark beetle is classified into specific species (western pine beetle, pine engraver)",2,0,0,0,,1
306,Fettig et al 2021,ponderosa pine; Douglas fir; grand fir; white fir; sugar pine; western white pine; ,Seventy-five (75) UMZ (medium density stand),"thinning: 2011, 2012, 2013; prescribed fire 2 years after thinning",< 75,thinning and prescribed fire happened in different years for different blocks,"2014, 2015, 2016 (1 year after prescribed fire)",percentage of trees killed,% of trees,0.5287663,4,0.2989106,0.1494553,0.04874598,4,0,0,insects,unclear (maybe after prescribed fire),unclear,bark beetles,Field experiment,Lookout Mountain Unit of Pringle Falls Experimental Forest,43.7,-121.617,"mortality by bark beetle is classified into specific species (western pine beetle, pine engraver)",2,0,0,0,,2
306,Fettig et al 2021,ponderosa pine; Douglas fir; grand fir; white fir; sugar pine; western white pine; ,Seventy-five (75) UMZ Gap,"thinning: 2011, 2012, 2013; prescribed fire 2 years after thinning",< 75,thinning and prescribed fire happened in different years for different blocks; regeneration cut,"2014, 2015, 2016 (1 year after prescribed fire)",percentage of trees killed,% of trees,1.13984082,4,1.03597058,0.51798529,0.04874598,4,0,0,insects,unclear (maybe after prescribed fire),unclear,bark beetles,Field experiment,Lookout Mountain Unit of Pringle Falls Experimental Forest,43.7,-121.617,"mortality by bark beetle is classified into specific species (western pine beetle, pine engraver)",2,0,0,0,,3
306,Fettig et al 2021,ponderosa pine; Douglas fir; grand fir; white fir; sugar pine; western white pine; ,One hundred (100) UMZ (high density stand),"thinning: 2011, 2012, 2013; prescribed fire 2 years after thinning",< 100,thinning and prescribed fire happened in different years for different blocks,"2014, 2015, 2016 (1 year after prescribed fire)",percentage of trees killed,% of trees,1.17024215,4,0.47822536,0.23911268,0.04874598,4,0,0,insects,unclear (maybe after prescribed fire),unclear,bark beetles,Field experiment,Lookout Mountain Unit of Pringle Falls Experimental Forest,43.7,-121.617,"mortality by bark beetle is classified into specific species (western pine beetle, pine engraver)",2,0,0,0,,4
306,Fettig et al 2021,ponderosa pine,Fifty (50) UMZ (low density stand),"thinning: 2011, 2012, 2013; prescribed fire 2 years after thinning",< 50,thinning and prescribed fire happened in different years for different blocks,"2014, 2015, 2016 (1 year after prescribed fire)",percentage of trees killed,% of trees,0.20019366,4,0.16018286,0.08009143,0,4,0,0,insects,unclear (maybe after prescribed fire),unclear,western pine beetle,Field experiment,Lookout Mountain Unit of Pringle Falls Experimental Forest,43.7,-121.617,,2,0,0,0,,1
306,Fettig et al 2021,ponderosa pine,Seventy-five (75) UMZ (medium density stand),"thinning: 2011, 2012, 2013; prescribed fire 2 years after thinning",< 75,thinning and prescribed fire happened in different years for different blocks,"2014, 2015, 2016 (1 year after prescribed fire)",percentage of trees killed,% of trees,0.13038827,4,0.0798184,0.0399092,0,4,0,0,insects,unclear (maybe after prescribed fire),unclear,western pine beetle,Field experiment,Lookout Mountain Unit of Pringle Falls Experimental Forest,43.7,-121.617,,2,0,0,0,,2
306,Fettig et al 2021,ponderosa pine,Seventy-five (75) UMZ Gap,"thinning: 2011, 2012, 2013; prescribed fire 2 years after thinning",< 75,thinning and prescribed fire happened in different years for different blocks; regeneration cut,"2014, 2015, 2016 (1 year after prescribed fire)",percentage of trees killed,% of trees,0.11022255,4,0.09958412,0.04979206,0,4,0,0,insects,unclear (maybe after prescribed fire),unclear,western pine beetle,Field experiment,Lookout Mountain Unit of Pringle Falls Experimental Forest,43.7,-121.617,,2,0,0,0,,3
306,Fettig et al 2021,ponderosa pine,One hundred (100) UMZ (high density stand),"thinning: 2011, 2012, 2013; prescribed fire 2 years after thinning",< 100,thinning and prescribed fire happened in different years for different blocks,"2014, 2015, 2016 (1 year after prescribed fire)",percentage of trees killed,% of trees,0.32058161,4,0.1989206,0.0994603,0,4,0,0,insects,unclear (maybe after prescribed fire),unclear,western pine beetle,Field experiment,Lookout Mountain Unit of Pringle Falls Experimental Forest,43.7,-121.617,,2,0,0,0,,4
306,Fettig et al 2021,ponderosa pine; lodgepole pine; western white pine,Fifty (50) UMZ (low density stand),"thinning: 2011, 2012, 2013; prescribed fire 2 years after thinning",< 50,thinning and prescribed fire happened in different years for different blocks,"2014, 2015, 2016 (1 year after prescribed fire)",percentage of trees killed,% of trees,0.29343932,4,0.27269154,0.13634577,0.03908806,4,0.03955272,0.01977636,insects,unclear (maybe after prescribed fire),unclear,pine engraver,Field experiment,Lookout Mountain Unit of Pringle Falls Experimental Forest,43.7,-121.617,,2,0,0,0,,1
306,Fettig et al 2021,ponderosa pine; lodgepole pine; western white pine,Seventy-five (75) UMZ (medium density stand),"thinning: 2011, 2012, 2013; prescribed fire 2 years after thinning",< 75,thinning and prescribed fire happened in different years for different blocks,"2014, 2015, 2016 (1 year after prescribed fire)",percentage of trees killed,% of trees,0.20129878,4,0.07927238,0.03963619,0.03908806,4,0.03955272,0.01977636,insects,unclear (maybe after prescribed fire),unclear,pine engraver,Field experiment,Lookout Mountain Unit of Pringle Falls Experimental Forest,43.7,-121.617,,2,0,0,0,,2
