studyID,studyName,species,treatment,treatment.year,%BA-removed,treatment.notes,measurement.year,responseVariable,units,mean_treatment,n_treatment,sd_treatment,se_treatment,mean_control,n_control,sd_control,se_control,disturbance,disturbanceStart,disturbanceEnd,mortalityAgent,method,SiteName,latitude coordinate,longitude coordinate,comment,"Carbon-vs-Mortality (1=Carbon, 2=Mortality)",ImputedBAremoved? (1=yes),ImputedSD? (1=yes),MortalityAttributionUncertain (1=yes),PercentComposition,"GroupingFlags (same number = should be grouped later, recycle numbers between studies. If nothing should be grouped, write NA)"
284,Westlind and Kerns 2021,Ponderosa Pine,spring burn - 5 yr reburn interval,"1998, 2003, 2008, 2013/14",NA,"no mention of severity, but probably lower severity, as flame length only 1.5m",2002-2017,mortality,nr trees per ha,12.627551,6,7.49206177,3.05862141,12.8188776,6,7.97027847,3.25385256,insects,unclear (2002),unclear (2017),western pine beetle,Field experiment,Emigrant Creek Ranger District,43.8,-118.98,Cumulative mortality from 2002 to 2019,2,0,0,1,,NA
284,Westlind and Kerns 2021,Ponderosa Pine,spring burn - 15 yr reburn interval,"1998, 2012/13 ",NA,"no mention of severity, but probably lower severity, as flame length only 1.5m",2002-2017,mortality,nr trees per ha,10.5867347,6,7.73117012,3.15623698,12.8188776,6,7.97027847,3.25385256,insects,unclear (2002),unclear (2017),western pine beetle,Field experiment,Emigrant Creek Ranger District,43.8,-118.98,Cumulative mortality from 2002 to 2020,2,0,0,1,,NA
288,Fettig et al 2010,"Mixed conifers, mostly ponderosa and jeffrey pine",early-season-burn-all,2005,15.4368932,"BA removed here is % of trees removed, where removed is derived from ""direct mortality"", i.e. trees which died from the fire by 2008 without signs of beetle attack.",2008,mortality,% of trees,6.01398601,3,2.18020381,1.25874126,0.27972028,3,0.12112243,0.06993007,insects,unclear (2005?),unclear (2008),"bark beetles, various",Field experiment,Tahoe National Forest,39.45,-120.12,Number in the treatment column is mid-point of 10cm diameter class,2,0,0,0,,NA
288,Fettig et al 2010,"Mixed conifers, mostly ponderosa and jeffrey pine",late-season-burn-all,2005,18.3495146,"BA removed here is % of trees removed, where removed is derived from ""direct mortality"", i.e. trees which died from the fire by 2008 without signs of beetle attack.",2008,mortality,% of trees,6.92307692,3,4.6026525,2.65734266,0.27972028,3,0.12112243,0.06993007,insects,unclear (2005?),unclear (2008),"bark beetles, various",Field experiment,Tahoe National Forest,39.45,-120.12,Number in the treatment column is mid-point of 10cm diameter class,2,0,0,0,,NA
283,Fettig et al 2014,"Pinus ponderosa and jeffreyi, Abies concolor",h-burn-all,1997-2000,4.39259233,"BA removed here is % of trees removed, where removed is derived by substracting the beetle-caused mortality from total mortality over the measurement period. Non-beetle mortality was less than 1 % in control plots, so I think most of it can be attributed to fire mortality in the burn plots.",2008-2012,mortality,% of trees,6.21085595,6,4.85806943,1.98329854,5.21920668,6,4.60238156,1.87891441,insects,unclear (200ish?),unclear (2010ish?),"bark beetles, various",Field experiment,Blacks Mountain Experimental Forest,40.67,-121.17,"Measurements roughly 10yr after treatment, number in treatment column refers to midpoint of 10cm diameter classes, ""l"" and ""h"" refer to thinning treatments prior to burns. These don't have a control, so should not be used as factor here.",2,0,0,1,,NA
283,Fettig et al 2014,"Pinus ponderosa and jeffreyi, Abies concolor",l-burn-all,1997-2000,9.9046145,"BA removed here is % of trees removed, where removed is derived by substracting the beetle-caused mortality from total mortality over the measurement period. Non-beetle mortality was less than 1 % in control plots, so I think most of it can be attributed to fire mortality in the burn plots.",2008-2012,mortality,% of trees,8.71607516,6,4.73022549,1.93110647,4.12317328,6,4.85806943,1.98329854,insects,unclear (200ish?),unclear (2010ish?),"bark beetles, various",Field experiment,Blacks Mountain Experimental Forest,40.67,-121.17,"Measurements roughly 10yr after treatment, number in treatment column refers to midpoint of 10cm diameter classes, ""l"" and ""h"" refer to thinning treatments prior to burns. These don't have a control, so should not be used as factor here.",2,0,0,1,,NA
60,Steel et al. 2021,Abies concolor,burned/no thin,2000,NA,BA% was not mentioned,"2011, 2017",stand mortality,%,33.75,3,,,37.75,3,,,drought&insect,2012,2016,beetle,Field experiment,Teakettle Experimental Forest,36.96666667,-116.0333333,Table S1,2,1,1,0,65.58,1
60,Steel et al. 2021,Abies concolor,unburned/understory thin,2000,NA,,"2011, 2017",stand mortality,%,32.5,3,,,37.75,3,,,drought&insect,2012,2016,beetle,Field experiment,Teakettle Experimental Forest,36.96666667,-116.0333333,Table S1,2,1,1,0,65.58,2
60,Steel et al. 2021,Abies concolor,burned/understory thin,2000,NA,,"2011, 2017",stand mortality,%,39,3,,,37.75,3,,,drought&insect,2012,2016,beetle,Field experiment,Teakettle Experimental Forest,36.96666667,-116.0333333,Table S1,2,1,1,0,65.58,3
60,Steel et al. 2021,Abies concolor,unburned/overstory thin,2000,NA,,"2011, 2017",stand mortality,%,35.5,3,,,37.75,3,,,drought&insect,2012,2016,beetle,Field experiment,Teakettle Experimental Forest,36.96666667,-116.0333333,Table S1,2,1,1,0,65.58,4
60,Steel et al. 2021,Abies concolor,burned/overstory thin,2000,NA,,"2011, 2017",stand mortality,%,36.25,3,,,37.75,3,,,drought&insect,2012,2016,beetle,Field experiment,Teakettle Experimental Forest,36.96666667,-116.0333333,Table S1,2,1,1,0,65.58,5
60,Steel et al. 2021,Abies magnifica,burned/no thin,2000,NA,,"2011, 2017",stand mortality,%,100,3,,,35.75,3,,,drought&insect,2012,2016,beetle,Field experiment,Teakettle Experimental Forest,36.96666667,-116.0333333,Table S1,2,1,1,0,4.89,1
60,Steel et al. 2021,Abies magnifica,unburned/understory thin,2000,NA,,"2011, 2017",stand mortality,%,22.75,3,,,35.75,3,,,drought&insect,2012,2016,beetle,Field experiment,Teakettle Experimental Forest,36.96666667,-116.0333333,Table S1,2,1,1,0,4.89,2
60,Steel et al. 2021,Abies magnifica,burned/understory thin,2000,NA,,"2011, 2017",stand mortality,%,40.5,3,,,35.75,3,,,drought&insect,2012,2016,beetle,Field experiment,Teakettle Experimental Forest,36.96666667,-116.0333333,Table S1,2,1,1,0,4.89,3
60,Steel et al. 2021,Abies magnifica,unburned/overstory thin,2000,NA,,"2011, 2017",stand mortality,%,26,3,,,35.75,3,,,drought&insect,2012,2016,beetle,Field experiment,Teakettle Experimental Forest,36.96666667,-116.0333333,Table S1,2,1,1,0,4.89,4
60,Steel et al. 2021,Abies magnifica,burned/overstory thin,2000,NA,,"2011, 2017",stand mortality,%,0,3,,,35.75,3,,,drought&insect,2012,2016,beetle,Field experiment,Teakettle Experimental Forest,36.96666667,-116.0333333,Table S1,2,1,1,0,4.89,5
60,Steel et al. 2021,Calocedrus decurrens,burned/no thin,2000,NA,,"2011, 2017",stand mortality,%,2,3,,,2.5,3,,,drought&insect,2012,2016,beetle,Field experiment,Teakettle Experimental Forest,36.96666667,-116.0333333,Table S1,2,1,1,0,16.52,1
60,Steel et al. 2021,Calocedrus decurrens,unburned/understory thin,2000,NA,,"2011, 2017",stand mortality,%,1,3,,,2.5,3,,,drought&insect,2012,2016,beetle,Field experiment,Teakettle Experimental Forest,36.96666667,-116.0333333,Table S1,2,1,1,0,16.52,2
60,Steel et al. 2021,Calocedrus decurrens,burned/understory thin,2000,NA,,"2011, 2017",stand mortality,%,3.25,3,,,2.5,3,,,drought&insect,2012,2016,beetle,Field experiment,Teakettle Experimental Forest,36.96666667,-116.0333333,Table S1,2,1,1,0,16.52,3
60,Steel et al. 2021,Calocedrus decurrens,unburned/overstory thin,2000,NA,,"2011, 2017",stand mortality,%,0.75,3,,,2.5,3,,,drought&insect,2012,2016,beetle,Field experiment,Teakettle Experimental Forest,36.96666667,-116.0333333,Table S1,2,1,1,0,16.52,4
60,Steel et al. 2021,Calocedrus decurrens,burned/overstory thin,2000,NA,,"2011, 2017",stand mortality,%,2.5,3,,,2.5,3,,,drought&insect,2012,2016,beetle,Field experiment,Teakettle Experimental Forest,36.96666667,-116.0333333,Table S1,2,1,1,0,16.52,5
60,Steel et al. 2021,Pinus jeffreyi,burned/no thin,2000,NA,,"2011, 2017",stand mortality,%,7.5,3,,,17.75,3,,,drought&insect,2012,2016,beetle,Field experiment,Teakettle Experimental Forest,36.96666667,-116.0333333,Table S1,2,1,1,0,4.44,1
60,Steel et al. 2021,Pinus jeffreyi,unburned/understory thin,2000,NA,,"2011, 2017",stand mortality,%,6,3,,,17.75,3,,,drought&insect,2012,2016,beetle,Field experiment,Teakettle Experimental Forest,36.96666667,-116.0333333,Table S1,2,1,1,0,4.44,2
60,Steel et al. 2021,Pinus jeffreyi,burned/understory thin,2000,NA,,"2011, 2017",stand mortality,%,1.25,3,,,17.75,3,,,drought&insect,2012,2016,beetle,Field experiment,Teakettle Experimental Forest,36.96666667,-116.0333333,Table S1,2,1,1,0,4.44,3
60,Steel et al. 2021,Pinus jeffreyi,unburned/overstory thin,2000,NA,,"2011, 2017",stand mortality,%,2,3,,,17.75,3,,,drought&insect,2012,2016,beetle,Field experiment,Teakettle Experimental Forest,36.96666667,-116.0333333,Table S1,2,1,1,0,4.44,4
60,Steel et al. 2021,Pinus jeffreyi,burned/overstory thin,2000,NA,,"2011, 2017",stand mortality,%,1.75,3,,,17.75,3,,,drought&insect,2012,2016,beetle,Field experiment,Teakettle Experimental Forest,36.96666667,-116.0333333,Table S1,2,1,1,0,4.44,5
